,sales_price,sales_date,Lot_size,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,zestimate,zindexvalue,full_bath,other_bath,is_studio,other_rooms,median_price,bg_1.0,bg_2.0,bg_3.0,bg_4.0,bg_5.0,bg_6.0,bg_7.0,bg_8.0,bg_9.0,bg_10.0,bg_11.0,bg_12.0,bg_13.0,bg_14.0,bg_15.0,ob_0.25,ob_0.5,ob_0.75
30,234000,02/12/2016,3301,3.0,2200.0,02/12/2016,234000.0,37.731436,-122.486486,1455842.0,1264800,3.0,0.0,0,3.0,1090000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,700000,02/12/2016,2548,2.0,1250.0,02/12/2016,700000.0,37.730809,-122.41451399999998,964978.0,888400,1.0,0.0,0,3.0,725000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,744000,02/12/2016,2495,2.0,970.0,02/12/2016,744000.0,37.730916,-122.418729,736105.0,888400,1.0,0.0,0,3.0,725000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1100000,02/11/2016,2628,2.0,911.0,02/11/2016,1100000.0,37.762498,-122.438686,938211.0,1475100,2.0,0.0,0,2.0,1100000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1325000,02/11/2016,2374,2.0,1621.0,02/11/2016,1325000.0,37.763108,-122.479527,1225848.0,1125700,1.0,0.25,0,4.0,982500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,2525000,02/11/2016,2736,3.0,2398.0,02/11/2016,2525000.0,37.747788,-122.434812,2641338.0,1782000,3.0,0.0,0,4.0,1900000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2300000,02/10/2016,2495,3.0,2080.0,02/10/2016,2300000.0,37.761845,-122.395171,2058271.0,1277600,2.0,0.0,0,4.0,1435000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,775000,02/10/2016,0,1.0,1212.0,02/10/2016,775000.0,37.757851,-122.415629,1197178.0,1185400,1.0,0.0,0,3.0,960000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1457000,02/10/2016,6851,2.0,1125.0,02/10/2016,1457000.0,37.79197,-122.44344,1488108.0,1910700,2.0,0.0,0,2.0,1285000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1525000,02/10/2016,4046,4.0,1846.0,02/10/2016,1525000.0,37.742271,-122.470518,1195679.0,1565000,3.0,0.75,0,1.0,1340000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,550000,02/10/2016,2863,3.0,1164.0,02/10/2016,550000.0,37.78093300000001,-122.454866,1247699.0,1447700,1.0,0.0,0,3.0,1575000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,3800000,02/10/2016,2750,7.0,4808.0,02/10/2016,3800000.0,37.785945,-122.475319,4498161.0,2244500,5.0,0.0,0,8.0,1612500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1900000,02/10/2016,3000,4.0,2520.0,02/10/2016,1900000.0,37.774837,-122.489397,1931715.0,1485300,4.0,0.0,0,4.0,1301000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,620000,02/09/2016,105806,1.0,706.0,02/09/2016,620000.0,37.781386,-122.421406,623886.0,855500,1.0,0.0,0,2.0,710000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,800000,02/09/2016,213232,1.0,903.0,02/09/2016,800000.0,37.777641,-122.393417,807995.0,975700,1.0,0.0,0,2.0,820000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45,872500,02/09/2016,33772,2.0,1593.0,02/09/2016,872500.0,37.772597,-122.45158700000002,996489.0,1231800,1.0,0.0,0,2.0,925000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1535000,02/09/2016,2495,8.0,2600.0,02/09/2016,1535000.0,37.780606,-122.452663,1524759.0,1447700,3.0,0.0,0,2.0,1535000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1600000,02/09/2016,3000,3.0,1902.0,02/09/2016,1600000.0,37.760979,-122.474469,1419587.0,1357900,3.0,0.0,0,3.0,1040000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,1625000,02/09/2016,3015,4.0,2900.0,02/09/2016,1625000.0,37.757906,-122.468775,1597121.0,1357900,3.0,0.0,0,4.0,1040000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
49,2050000,02/09/2016,2585,3.0,2435.0,02/09/2016,2050000.0,37.738831,-122.439262,2016900.0,1098500,3.0,0.5,0,4.0,1558000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
50,885000,02/08/2016,700,3.0,1207.0,02/08/2016,885000.0,37.787089,-122.416761,1626076.0,807800,2.0,0.0,0,6.0,665000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
51,960000,02/08/2016,65376,3.0,1106.0,02/08/2016,960000.0,37.784298,-122.427058,957064.0,983400,2.0,0.0,0,3.0,709000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,825000,02/08/2016,14972,1.0,935.0,02/08/2016,825000.0,37.764088,-122.410828,889532.0,1185400,2.0,0.0,0,2.0,960000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
53,1065000,02/08/2016,1584,2.0,968.0,02/08/2016,1065000.0,37.76241,-122.433456,989982.0,1744100,1.0,0.0,0,2.0,1300000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1925000,02/08/2016,312,3.0,1950.0,02/08/2016,1925000.0,37.787916,-122.45233799999998,2521256.0,5333500,2.0,0.0,0,4.0,1925000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1250000,02/08/2016,2805,4.0,1703.0,02/08/2016,1250000.0,37.748415,-122.450795,1358996.0,1117200,2.0,0.0,0,4.0,949500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1950000,02/05/2016,3582,2.0,1463.0,02/05/2016,1950000.0,37.795139,-122.425309,1922387.0,1910700,2.0,0.0,0,5.0,1285000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,609000,02/05/2016,2661,2.0,1200.0,02/05/2016,609000.0,37.710208,-122.445075,637413.0,823000,1.0,0.0,0,3.0,725000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2350000,02/05/2016,2622,3.0,2650.0,02/05/2016,2350000.0,37.758626,-122.440801,2211797.0,1744100,2.0,0.0,0,5.0,2019500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,1770000,02/05/2016,4668,3.0,1700.0,02/05/2016,1770000.0,37.789597,-122.430787,1137507.0,1910700,2.0,0.0,0,2.0,1285000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2800000,02/05/2016,2152,4.0,2850.0,02/05/2016,2800000.0,37.788913,-122.430728,3032479.0,1178700,4.0,0.0,0,3.0,925000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,1350000,02/05/2016,4988,2.0,1252.0,02/05/2016,1350000.0,37.76432,-122.446342,1300995.0,2151400,2.0,0.0,0,2.0,1200000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,725000,02/05/2016,3070,3.0,1297.0,02/05/2016,725000.0,37.735503,-122.397062,797170.0,736700,2.0,0.0,0,3.0,631500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,850000,02/05/2016,2495,5.0,1789.0,02/05/2016,850000.0,37.71805,-122.390617,910894.0,731900,3.0,0.0,0,3.0,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,860000,02/05/2016,1751,2.0,1254.0,02/05/2016,860000.0,37.72396,-122.413872,789444.0,888400,1.0,0.0,0,3.0,725000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,885000,02/04/2016,38571,1.0,713.0,02/04/2016,885000.0,37.787031,-122.393642,903954.0,1286900,1.0,0.0,0,2.0,1094000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
66,1110000,02/04/2016,2495,4.0,2166.0,06/11/2015,1600000.0,37.757681,-122.401578,1599122.0,1277600,2.0,0.5,0,7.0,1390250.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
67,760000,02/04/2016,1751,2.0,1000.0,02/04/2016,760000.0,37.724352,-122.415124,765401.0,888400,1.0,0.0,0,2.0,725000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,227500,02/03/2016,1712,3.0,2250.0,02/03/2016,227500.0,37.737764,-122.418634,1402002.0,1248000,2.0,0.0,0,5.0,1107500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,1300000,02/03/2016,3140,3.0,1806.0,02/03/2016,1300000.0,37.726945,-122.439334,1211468.0,992600,2.0,0.0,0,4.0,820000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,810000,02/03/2016,2487,3.0,1200.0,02/03/2016,810000.0,37.731771,-122.397584,696627.0,736700,1.0,0.5,0,2.0,631500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
71,850000,02/03/2016,3180,2.0,884.0,02/03/2016,850000.0,37.747035,-122.433868,1027971.0,1782000,1.0,0.0,0,3.0,1150000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,1950000,02/03/2016,2500,3.0,2100.0,02/03/2016,1950000.0,37.739623,-122.428899,1880749.0,1660200,2.0,0.0,0,7.0,1380000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,1030000,02/02/2016,1554,2.0,977.0,02/02/2016,1030000.0,37.775184,-122.411567,1004132.0,975700,2.0,0.0,0,3.0,820000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
74,565000,02/02/2016,2256,2.0,875.0,02/02/2016,565000.0,37.709411,-122.465031,642369.0,814200,1.0,0.0,0,2.0,716500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,762000,02/02/2016,2996,2.0,697.0,02/02/2016,762000.0,37.755586,-122.508063,711217.0,1031800,1.0,0.0,0,2.0,850000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,950000,02/01/2016,1751,3.0,1539.0,02/01/2016,950000.0,37.734334,-122.413534,965984.0,1248000,2.0,0.0,0,4.0,1107500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1415000,01/29/2016,29037,2.0,1118.0,01/29/2016,1415000.0,37.78800800000001,-122.389643,1277409.0,1286900,2.0,0.0,0,3.0,1094000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
78,7500000,01/29/2016,33056,2.0,1670.0,01/29/2016,7500000.0,37.786289,-122.401374,4118863.0,1006900,2.0,0.5,0,3.0,955000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
79,650000,01/29/2016,44676,0.0,550.0,01/29/2016,650000.0,37.78482,-122.423994,667585.0,855500,1.0,0.0,1,2.0,710000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,1275000,01/29/2016,0,3.0,1440.0,01/29/2016,1275000.0,37.755554,-122.42316,1472631.0,1185400,2.0,0.0,0,4.0,960000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1250000,01/29/2016,1851,3.0,1480.0,01/29/2016,1250000.0,37.788038,-122.430024,1574733.0,1178700,1.0,0.0,0,2.0,925000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,1225000,01/29/2016,2996,4.0,2193.0,01/29/2016,1225000.0,37.744067,-122.506187,1358925.0,981900,2.0,0.5,0,3.0,804500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83,555000,01/29/2016,41262,1.0,417.0,01/29/2016,555000.0,37.77803400000001,-122.43251,588432.0,983400,1.0,0.0,0,4.0,709000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
84,1900000,01/29/2016,2063,4.0,2596.0,01/29/2016,1900000.0,37.778728,-122.478448,2102133.0,1485300,4.0,0.0,0,5.0,1301000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,1558000,01/29/2016,2935,4.0,2275.0,01/29/2016,1558000.0,37.739244,-122.4371,1775216.0,1098500,3.0,0.0,0,3.0,1558000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,658000,01/29/2016,325629,2.0,969.0,01/29/2016,658000.0,37.71048,-122.467645,629228.0,710500,2.0,0.0,0,2.0,469750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
87,738000,01/28/2016,1680,2.0,840.0,01/28/2016,738000.0,37.719505,-122.445759,715379.0,814200,1.0,0.0,0,2.0,716500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88,950000,01/28/2016,5871,4.0,1726.0,01/28/2016,950000.0,37.714682,-122.452504,939221.0,762700,2.0,0.0,0,3.0,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
