,z_address,sales_price,sales_date,Lot_size,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,age,build_gen,zestimate,zindexvalue,zipcode,full_bath,other_bath,is_studio
39,2455 14th Ave,1525000,02/10/2016,4046,3.75,4.0,1846.0,02/10/2016,1525000.0,37.742271,-122.470518,West Portal,5.0,SingleFamily,84.0,7.0,1195679.0,1565000,94116.0,3.0,0.75,0
40,30 Beaumont Ave,550000,02/10/2016,2863,1.0,3.0,1164.0,02/10/2016,550000.0,37.780933000000005,-122.454866,Lone Mountain,6.0,SingleFamily,94.0,6.0,1247699.0,1447700,94118.0,1.0,0.0,0
41,108 16th Ave,3800000,02/10/2016,2750,5.0,7.0,4808.0,02/10/2016,3800000.0,37.785945,-122.475319,Lake,15.0,MultiFamily2To4,102.0,5.0,4498161.0,2244500,94118.0,5.0,0.0,0
42,766 30th Ave,1900000,02/10/2016,3000,4.0,4.0,2520.0,02/10/2016,1900000.0,37.774837,-122.489397,Central Richmond,8.0,SingleFamily,89.0,6.0,1931715.0,1485300,94121.0,4.0,0.0,0
43,601 Van Ness Ave APT 629,620000,02/09/2016,105806,1.0,1.0,706.0,02/09/2016,620000.0,37.781386,-122.421406,Van Ness - Civic Center,3.0,Condominium,34.0,12.0,623886.0,855500,94102.0,1.0,0.0,0
44,260 King St UNIT 815,800000,02/09/2016,213232,1.0,1.0,903.0,02/09/2016,800000.0,37.777640999999996,-122.393417,South of Market,3.0,Condominium,12.0,14.0,807995.0,975700,94107.0,1.0,0.0,0
45,2040 Fell St APT 12,872500,02/09/2016,33772,1.0,2.0,1593.0,02/09/2016,872500.0,37.772597,-122.45158700000002,North Panhandle,4.0,Condominium,91.0,6.0,996489.0,1231800,94117.0,1.0,0.0,0
46,784-786 Spruce St,1535000,02/09/2016,2495,3.0,8.0,2600.0,02/09/2016,1535000.0,37.780606,-122.45266299999999,Lone Mountain,10.0,MultiFamily2To4,89.0,6.0,1524759.0,1447700,94118.0,3.0,0.0,0
47,1444 17th Ave # 101,1600000,02/09/2016,3000,3.0,3.0,1902.0,02/09/2016,1600000.0,37.760979,-122.474469,Inner Sunset,6.0,Condominium,20.0,13.0,1419587.0,1357900,94122.0,3.0,0.0,0
48,1618 12th Ave,1625000,02/09/2016,3015,3.0,4.0,2900.0,02/09/2016,1625000.0,37.757906,-122.468775,Inner Sunset,8.0,Condominium,15.0,14.0,1597121.0,1357900,94122.0,3.0,0.0,0
49,5696 Diamond Heights Blvd,2050000,02/09/2016,2585,3.5,3.0,2435.0,02/09/2016,2050000.0,37.738831,-122.43926200000001,Diamond Heights,7.0,SingleFamily,36.0,12.0,2016900.0,1098500,94131.0,3.0,0.5,0
50,901 Post St # 2,885000,02/08/2016,700,2.0,3.0,1207.0,02/08/2016,885000.0,37.787089,-122.41676100000001,Downtown,9.0,Condominium,14.0,14.0,1626076.0,807800,94109.0,2.0,0.0,0
51,66 Cleary Ct APT 1504,960000,02/08/2016,65376,2.0,3.0,1106.0,02/08/2016,960000.0,37.784298,-122.427058,Western Addition,6.0,Condominium,53.0,10.0,957064.0,983400,94109.0,2.0,0.0,0
52,1800 Bryant St STE 202,825000,02/08/2016,14972,2.0,1.0,935.0,02/08/2016,825000.0,37.764088,-122.41082800000001,Mission,3.0,Condominium,16.0,14.0,889532.0,1185400,94110.0,2.0,0.0,0
53,3919 17th St,1065000,02/08/2016,1584,1.0,2.0,968.0,02/08/2016,1065000.0,37.762409999999996,-122.433456,Eureka Valley - Dolores Heights - Castro,4.0,MultiFamily2To4,106.0,5.0,989982.0,1744100,94114.0,1.0,0.0,0
54,325 Locust St,1925000,02/08/2016,312,2.0,3.0,1950.0,02/08/2016,1925000.0,37.787915999999996,-122.45233799999998,Presidio Heights,7.0,Condominium,111.0,4.0,2521256.0,5333500,94118.0,2.0,0.0,0
55,50 Longview Ct,1250000,02/08/2016,2805,2.0,4.0,1703.0,02/08/2016,1250000.0,37.748415,-122.450795,Midtown Terrace,8.0,SingleFamily,61.0,9.0,1358996.0,1117200,94131.0,2.0,0.0,0
56,2243 Franklin St,1950000,02/05/2016,3582,2.0,2.0,1463.0,02/05/2016,1950000.0,37.795139,-122.42530900000001,Pacific Heights,7.0,Condominium,116.0,4.0,1922387.0,1910700,94109.0,2.0,0.0,0
57,576 Brunswick St,609000,02/05/2016,2661,1.0,2.0,1200.0,02/05/2016,609000.0,37.710208,-122.445075,Crocker Amazon,5.0,SingleFamily,85.0,7.0,637413.0,823000,94112.0,1.0,0.0,0
58,79 Seward St,2350000,02/05/2016,2622,2.0,3.0,2650.0,02/05/2016,2350000.0,37.758626,-122.44080100000001,Eureka Valley - Dolores Heights - Castro,8.0,SingleFamily,87.0,6.0,2211797.0,1744100,94114.0,2.0,0.0,0
59,2105 Buchanan St APT 6,1770000,02/05/2016,4668,2.0,3.0,1700.0,02/05/2016,1770000.0,37.789597,-122.43078700000001,Pacific Heights,5.0,Condominium,95.0,6.0,1137507.0,1910700,94115.0,2.0,0.0,0
60,2017 Buchanan St,2800000,02/05/2016,2152,4.0,4.0,2850.0,02/05/2016,2800000.0,37.788913,-122.430728,Lower Pacific Heights,7.0,Condominium,126.0,3.0,3032479.0,1178700,94115.0,4.0,0.0,0
61,1015 Ashbury St APT 2,1350000,02/05/2016,4988,2.0,2.0,1252.0,02/05/2016,1350000.0,37.76432,-122.44634199999999,Parnassus - Ashbury,4.0,Condominium,103.0,5.0,1300995.0,2151400,94117.0,2.0,0.0,0
62,170 Bridgeview Dr,725000,02/05/2016,3070,2.0,3.0,1297.0,02/05/2016,725000.0,37.735503,-122.397062,Silver Terrace,6.0,SingleFamily,52.0,10.0,797170.0,736700,94124.0,2.0,0.0,0
63,884 Ingerson Ave,850000,02/05/2016,2495,3.0,5.0,1789.0,02/05/2016,850000.0,37.71805,-122.39061699999999,Bayview,8.0,SingleFamily,52.0,10.0,910894.0,731900,94124.0,3.0,0.0,0
64,475 Princeton St,860000,02/05/2016,1751,1.0,2.0,1254.0,02/05/2016,860000.0,37.72396,-122.413872,Portola,5.0,SingleFamily,67.0,8.0,789444.0,888400,94134.0,1.0,0.0,0
65,333 1st St UNIT 1702,885000,02/04/2016,38571,1.0,1.0,713.0,02/04/2016,885000.0,37.787031,-122.39364199999999,South Beach,3.0,Condominium,12.0,14.0,903954.0,1286900,94105.0,1.0,0.0,0
66,961A Rhode Island St,1110000,02/04/2016,2495,2.5,4.0,2166.0,06/11/2015,1600000.0,37.757681,-122.401578,Potrero Hill,11.0,MultiFamily2To4,107.0,4.0,1599122.0,1277600,94107.0,2.0,0.5,0
67,415 Amherst St,760000,02/04/2016,1751,1.0,2.0,1000.0,02/04/2016,760000.0,37.724352,-122.415124,Portola,4.0,SingleFamily,67.0,8.0,765401.0,888400,94134.0,1.0,0.0,0
68,201 Holly Park Cir,227500,02/03/2016,1712,2.0,3.0,2250.0,02/03/2016,227500.0,37.737764,-122.41863400000001,Bernal Heights,8.0,SingleFamily,106.0,5.0,1402002.0,1248000,94110.0,2.0,0.0,0
69,30 Otsego Ave,1300000,02/03/2016,3140,2.0,3.0,1806.0,02/03/2016,1300000.0,37.726945,-122.439334,Mission Terrace,7.0,SingleFamily,92.0,6.0,1211468.0,992600,94112.0,2.0,0.0,0
70,80 Venus St,810000,02/03/2016,2487,1.5,3.0,1200.0,02/03/2016,810000.0,37.731771,-122.39758400000001,Silver Terrace,5.0,SingleFamily,75.0,8.0,696627.0,736700,94124.0,1.0,0.5,0
